student_id,learning_style,learning_speed,ability,question_id,topic,subtopic,difficulty,time_taken,hints_used,correct,timestamp,session_id,prev_correct_1,prev_correct_2,prev_correct_3,rolling_accuracy_5,rolling_accuracy_10,topic_attempt_count,topic_correct_rate
S0001,visual,moderate,0.72,Q000094,Probability,Expected Value,easy,30,1,0,2025-02-23T17:22:00,session_573,0,0,0,0.0,0.0,0,0.0
S0001,visual,moderate,0.72,Q000035,Algebra,Polynomials,easy,25,1,0,2025-02-23T17:23:40,session_573,0,0,0,0.0,0.0,0,0.0
S0001,visual,moderate,0.72,Q000110,Probability,Distributions,hard,36,1,0,2025-02-23T17:25:32,session_573,0,0,0,0.0,0.0,1,0.0
S0001,visual,moderate,0.72,Q000104,Probability,Expected Value,medium,39,0,1,2025-02-23T17:26:48,session_573,0,0,0,0.0,0.0,2,0.3333333333333333
S0001,visual,moderate,0.72,Q000555,Networks,OSI,hard,28,1,0,2025-02-23T17:28:47,session_573,1,0,0,0.2,0.0,0,0.0
S0001,visual,moderate,0.72,Q000084,Probability,Conditional,hard,47,1,0,2025-02-23T17:28:50,session_573,0,1,0,0.2,0.0,3,0.25
S0001,visual,moderate,0.72,Q000101,Probability,Expected Value,easy,24,1,0,2025-02-23T17:29:36,session_573,0,0,1,0.2,0.0,4,0.2
S0001,visual,moderate,0.72,Q000097,Probability,Expected Value,hard,45,1,0,2025-02-23T17:32:56,session_573,0,0,0,0.2,0.0,5,0.16666666666666666
S0001,visual,moderate,0.72,Q000067,Probability,Basic Prob,easy,24,1,0,2025-02-23T17:35:12,session_573,0,0,0,0.0,0.0,6,0.14285714285714285
S0001,visual,moderate,0.72,Q000127,Trigonometry,Identities,easy,28,1,0,2025-02-23T17:35:46,session_573,0,0,0,0.0,0.1,0,0.0
S0001,visual,moderate,0.72,Q000227,Geometry,Mensuration,medium,37,0,1,2025-02-23T17:36:16,session_573,0,0,0,0.2,0.2,0,1.0
S0001,visual,moderate,0.72,Q000442,Operating Systems,Scheduling,hard,42,1,0,2025-02-23T17:37:00,session_573,1,0,0,0.2,0.2,0,0.0
S0001,visual,moderate,0.72,Q000070,Probability,Basic Prob,easy,25,0,1,2025-02-23T17:51:54,session_573,0,1,0,0.4,0.3,7,0.25
S0002,verbal,moderate,0.643,Q000085,Probability,Conditional,easy,32,1,0,2025-01-19T13:16:54,session_extra_65156,0,0,0,0.0,0.0,0,0.0
S0002,verbal,moderate,0.643,Q000343,Data Structures,Trees,easy,22,1,0,2025-01-22T11:51:00,session_149,0,0,0,0.0,0.0,0,0.0
S0002,verbal,moderate,0.643,Q000524,DBMS,Normalization,medium,36,1,0,2025-01-22T11:53:14,session_149,0,0,0,0.0,0.0,0,0.0
